Measure,Segmentation,Template,Intensity,Label_1
Volume,sub-000_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-jfa_calc-bin_out.nii.gz,-,-,111.875
Volume,sub-001_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-jfa_calc-bin_out.nii.gz,-,-,72.25
Volume,sub-002_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-jfa_calc-bin_out.nii.gz,-,-,106.625
Volume,sub-004_ses-1_acq-sb2_mod-r1hz_orient-std_mask-mgn_hem-r_rat-jfa_calc-bin_out.nii.gz,-,-,70.5
Volume,sub-008_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-jfa_calc-bin_out.nii.gz,-,-,67.0
Volume,sub-012_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-jfa_calc-bin_out.nii.gz,-,-,71.25
Volume,sub-016_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,139.5
Volume,sub-023_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,170.49998
Volume,sub-024_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-jfa_calc-bin_out.nii.gz,-,-,74.49999
Volume,sub-031_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-jfa_calc-bin_out.nii.gz,-,-,63.25
Volume,sub-033_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-jfa_calc-bin_out.nii.gz,-,-,106.625
Volume,sub-035_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,88.50001
Volume,sub-040_ses-1_acq-sb2_mod-r1hz_orient-std_brain_mask-mgn_hem-r_rat-jfa_calc-bin_out.nii.gz,-,-,57.625
Volume,sub-044_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,170.25
Volume,sub-055_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,85.74999
Volume,sub-060_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,102.00003
Volume,sub-075_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,121.0
Volume,sub-076_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,152.875
Volume,sub-082_ses-1_acq-sb2_mod-r1hz_mask-mgn_hem-r_rat-opx_calc-bin_out.nii.gz,-,-,151.00005
 
